row_id,sample,outcome.x,q60_1,q60_2,q60_3,q60_4,q60_5,q60_6,q60_7,q25_new,ideo5,dem_rep_oth,age,female,race_new,faminc_new,educ,trust_in_govt,trust_in_science,covid_subj_know,relig_scale,faminc_new.NA,faminc_new_Imp,percdist,q60_1_rank,q60_2_rank,q60_3_rank,q60_4_rank,q60_5_rank,q60_6_rank,q60_7_rank,q25_new_rank,avg_perc_rank,covmh,ps,orig_id,id.x,bm,match_id,rankperc,grp,id.y,outcome.y,q22,q59_1,outcome,q60_1a,q60_2a,q60_3a,q60_4a,q60_5a,q60_6a,q60_7a,q60_ingroup,q60_outgroup,q60_1a_rank,q60_2a_rank,q60_3a_rank,q60_4a_rank,q60_5a_rank,q60_6a_rank,q60_7a_rank,outcome_rank,q22_rank,q59_1_rank,q59_1_rank_inv
78,2,1,7,6,6,6,7,6,7,1,3,3,56,1,1,10,5,3,5,5,0.656083207882852,0,10,3.3200148375350693,1356,1211,1255,1278.5,1400,1339,1450,302,1327.0714285714287,6.126740028323079,984.084563758101,3,78,51,78,1,1,78,1,4,4,1,6,5,5,5,6,5,6,NA,NA,1,1,1,1,1,1,1,1,0.5,0,1
764,1,0,6,4,4,4,6,4,5,4,3,3,63,1,1,9,6,3,4,4,0.31914602436020245,0,9,3.65881082647558,984.5,483.5,411,372,953.5,723.5,821,1263,678.4285714285714,5.771656100086343,924.9208044864297,3,764,51,763,0,0,764,0,4,5,0,5,3,3,3,5,3,4,NA,NA,0,0,0,0,0,0,0,0,0.5,1,0
79,1,1,2,3,3,4,4,3,3,1,2,1,56,1,2,1,2,2,5,4,0.42821951553305043,0,1,3.8038691206485944,155.5,238.5,161.5,372,239,328,184,302,239.78571428571428,9.289780634361982,752.1808866436111,2,79,52,79,0,1,79,1,49,5,1,1,2,2,3,3,2,2,3,2,0,0,0,1,0,1,0.5,0.5,1,1,0
221,1,1,6,4,5,3,6,2,3,6,3,1,62,1,2,3,2,2,4.5,3,0.31462980703435056,0,3,13.291850758447978,984.5,483.5,835,133,953.5,138,184,1403,530.2142857142857,5.527956739538553,756.0389920525043,3,221,52,221,1,0,221,1,17,2,1,5,3,4,2,5,1,2,5,1,1,1,1,0,1,0,0.5,0.5,0,0,1
80,2,0,1,2,3,3,7,3,3,1,5,2,50,1,1,4,3,1,1,5,0.6321335705487887,0,4,13.914140831289755,41,120.5,161.5,133,1400,328,184,302,338.2857142857143,10.814357021294708,397.5491334519402,5,80,53,80,1,1,80,0,0,5,0,0,1,2,2,6,2,2,2,6,0.5,0.5,1,1,0.5,0.5,1,0.5,0.5,0.5,0.5
531,2,0,1,2,2,2,7,3,1,1,5,2,50,1,1,4,3,1,1,5,0.1929656493773094,0,4,26.28609593688734,41,120.5,77.5,65,1400,328,29.5,302,294.5,9.625938562210441,377.6942797307554,5,531,53,531,0,0,531,0,0,5,0,0,1,1,1,6,2,0,2,6,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5
82,2,1,7,7,6,6,7,4,7,7,2,1,82,0,1,12,3,4,5,4,0.11331599835773912,0,12,5.715829392537159,1356,1456.5,1255,1278.5,1400,723.5,1450,1466,1274.2142857142858,10.98905205316714,1311.9918805081536,2,82,54,82,1,1,82,1,0,1,1,6,6,5,5,6,3,6,6,3,0.5,1,0.5,0.5,0.5,1,1,0.5,0,0,1
631,1,1,7,6,6,6,7,2,6,2,3,1,79,0,1,11,3,3.6666666666666665,5,4,0.9199397837689887,0,11,9.807586295728532,1356,1211,1255,1278.5,1400,138,1208.5,843,1121,11.619261404535028,1190.225559116255,3,631,54,630,0,0,631,1,1,4,1,6,5,5,5,6,1,5,6,1,0.5,0,0.5,0.5,0.5,0,0,0.5,1,1,0
83,2,1,6,4,6,6,6,4,6,3,1,1,56,1,1,8,5,3,4.5,4,0.6169426577254686,0,8,7.264636739109748,984.5,483.5,1255,1278.5,953.5,723.5,1208.5,1140.5,983.8571428571429,4.099122359462849,959.2268688873744,1,83,55,83,1,1,83,1,8,2,1,5,3,5,5,5,3,5,5,3,0,0,1,1,0.5,0.5,1,0.5,1,0,1
879,1,1,7,5,5,5,6,4,5,1,1,1,63,1,1,9,5,3,5,4,0.8302997126043519,0,9,2.4146100547221248,1356,838,835,836,953.5,723.5,821,302,909,5.331071176974796,1017.168171598859,1,879,55,878,0,0,879,1,6,4,1,6,4,4,4,5,3,4,5,3,1,1,0,0,0.5,0.5,0,0.5,0,1,0
