row_id,sample,outcome.x,q60_1,q60_2,q60_3,q60_4,q60_5,q60_6,q60_7,q25_new,caseid_BROW0017,caseid_BROW0016,caseid_BROW0015,caseid_BROW0014,caseid_BROW0013,caseid,ideo5,dem_rep_oth,age,female,race_new,faminc_new,educ,trust_in_govt,trust_in_science,covid_subj_know,relig_scale,faminc_new.NA,faminc_new_Imp,percdist,q60_1_rank,q60_2_rank,q60_3_rank,q60_4_rank,q60_5_rank,q60_6_rank,q60_7_rank,q25_new_rank,avg_perc_rank,covmh,ps,orig_id,id.x,bm,match_id,rankperc,grp,id.y,outcome.y,q22,q59_1,outcome,q60_1a,q60_2a,q60_3a,q60_4a,q60_5a,q60_6a,q60_7a,q60_ingroup,q60_outgroup,q60_1a_rank,q60_2a_rank,q60_3a_rank,q60_4a_rank,q60_5a_rank,q60_6a_rank,q60_7a_rank,outcome_rank,q22_rank,q59_1_rank,q59_1_rank_inv
1245,1,1,6,6,6,6,7,7,7,6,1405872591,NA,NA,NA,NA,NA,4,2,77,1,1,3,3,2.3333333333333335,5,2,0.8282468865471464,0,3,5.159133323393248,984.5,1211,1255,1278.5,1400,1465,1450,1403,1292,13.386435372094676,933.2532561225477,4,1245,277,1243,1,0,1245,1,3,4,1,5,5,5,5,6,6,6,6,6,1,1,1,1,0.5,0.5,0.5,1,0,0.5,0.5
466,1,1,6,5,4,4,5,3,6,1,1397558585,NA,NA,NA,NA,NA,1,3,32,0,1,6,4,1.3333333333333333,5,4,0.9199397837689887,0,6,6.138754250978899,984.5,838,411,372,475,328,1208.5,302,659.5714285714286,10.100320485206414,708.1631195109738,1,466,278,466,0,1,466,1,3,1,1,5,4,3,3,4,2,5,NA,NA,0.5,0.5,0,0,0,0.5,1,0.5,0,0,1
1216,1,1,6,5,5,5,6,3,5,1,1405884833,NA,NA,NA,NA,NA,1,3,28,0,1,NA,5,2,4,3,0.656083207882852,1,6.0595419847328245,1.8243813133430093,984.5,838,835,836,953.5,328,821,302,799.4285714285714,13.092975302672873,731.2780449987947,1,1216,278,1214,1,0,1216,1,5,3,1,5,4,4,4,5,2,4,NA,NA,0.5,0.5,1,1,1,0.5,0,0.5,1,1,0
467,2,1,6,5,5,5,4,5,4,2,1397632753,NA,NA,NA,NA,NA,4,3,57,0,1,11,3,2,2,3,0.3071027781579307,0,11,4.6930772609108855,984.5,838,835,836,239,1125.5,432.5,843,755.7857142857143,6.209792179545114,593.3724449558546,4,467,279,467,0,1,467,1,6,2,1,5,4,4,4,3,4,3,NA,NA,0.5,0,0.5,0,0,0,0,1,0,0,1
676,2,0,6,6,5,6,6,6,6,1,1399942675,NA,NA,NA,NA,NA,3,3,51,0,1,8,5,2,2.5,3,0.04091966607362801,0,8,4.265626559215516,984.5,1211,835,1278.5,953.5,1339,1208.5,302,1115.7142857142858,6.289967514016132,664.6177247040611,3,676,279,675,1,0,676,0,51,3,0,5,5,4,5,5,5,5,NA,NA,0.5,1,0.5,1,1,1,1,0,1,1,0
471,1,1,5,6,5,5,6,4,5,2,1397689065,NA,NA,NA,NA,NA,2,1,24,1,1,NA,4,3,4,3,0.7982756261119474,1,6.0595419847328245,2.465002168202169,658.5,1211,835,836,953.5,723.5,821,843,862.6428571428571,12.560157729323825,777.0166724783395,2,471,280,471,0,1,471,1,5,4,1,4,5,4,4,5,3,4,5,3,0,0.5,0,0,0.5,0.5,0,0.5,0,0.5,0.5
1028,1,1,6,6,6,6,6,4,6,4,1402170317,NA,NA,NA,NA,NA,2,1,27,1,1,NA,5,2,5,4,0.9199397837689887,1,6.0595419847328245,2.6955556417882915,984.5,1211,1255,1278.5,953.5,723.5,1208.5,1263,1087.7857142857142,13.506906247023043,764.0925611766332,2,1028,280,1027,1,0,1028,1,47,4,1,5,5,5,5,5,3,5,5,3,1,0.5,1,1,0.5,0.5,1,0.5,1,0.5,0.5
472,1,0,1,2,2,2,3,2,2,1,1397691893,NA,NA,NA,NA,NA,6,2,39,1,4,3,4,1,2.5,3,0.19187080881346652,0,3,6.509831271897236,41,120.5,77.5,65,107,138,94.5,302,91.92857142857143,6.9068918327449795,405.92390063590665,6,472,281,472,1,1,472,0,24,3,0,0,1,1,1,2,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0.5,0.5
793,1,0,1,1,1,1,1,1,1,1,1400855837,NA,NA,NA,NA,NA,5,2,36,1,4,2,2,2,2,5,0.3143560968933898,0,2,12.30180202740861,41,31,22,19.5,25,31,29.5,302,28.428571428571427,10.557847645903289,467.5279364557762,5,793,281,792,0,0,793,0,1,3,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0.5
488,2,1,6,4,4,5,6,3,4,3,1398093067,NA,NA,NA,NA,NA,4,1,31,1,1,1,2,2,3.5,3,0.6616942657725468,0,1,4.821524433429951,984.5,483.5,411,836,953.5,328,432.5,1140.5,632.7142857142857,4.836647355802462,634.0530929555151,4,488,282,488,1,1,488,1,0,3,1,5,3,3,4,5,2,3,5,2,1,1,1,1,1,0,0,1,0,0,1
